Entry,Organism,Protein families,Length,Fragment,Toxic dose,PTM
P59360,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",64,,,
P56609,Tityus bahiensis (Brazilian scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",62,,,
P68410,Tityus serrulatus (Brazilian scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",62,,"LD(50) is 6 ng by intracerebroventricular injection into mice (PubMed:1344906) and 12.9 +- 1.6 ug/kg when intracisternally injected into mice (PubMed:1926167). {ECO:0000269|PubMed:1344906, ECO:0000269|PubMed:1926167}.",
P80076,Centruroides noxius (Mexican scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",66,,,
P15227,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",65,,,
E7CLN2,Rhopalurus junceus (Caribbean blue scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",65,fragment,,
O77463,Tityus serrulatus (Brazilian scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",84,,LD(50) is 15 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:2085384}.,
P01481,Leiurus quinquestriatus quinquestriatus (Egyptian scorpion) (Deathstalker scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",64,,"LD(50) is 125 ng/kg (2.5 ng/mouse) by intracerebroventricular injection into mice, 3.4 pmol/g by subcutaneous injection in mouse and 2317 pmol/g in Blattella germanica. {ECO:0000269|PubMed:8626486}.",
P46115,Tityus serrulatus (Brazilian scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",64,,LD(50) is 94 +/- 7 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8280757}.,
P0CI88,Lychas mucronatus (Chinese swimming scorpion),,58,fragment,,
M1JB54,Androctonus crassicauda (Arabian fat-tailed scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",67,,,
E7CLN5,Rhopalurus junceus (Caribbean blue scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",65,fragment,,
P84688,Tityus obscurus (Amazonian scorpion) (Tityus cambridgei),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family",84,,,
P04098,Buthus occitanus tunetanus (Common European scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",36,fragment,,
P02852,Apis mellifera (Honeybee),Secapin family,77,,,
P84692,Tityus obscurus (Amazonian scorpion) (Tityus cambridgei),,10,fragment,,
P0C8X6,Tityus stigmurus (Brazilian scorpion),"Short scorpion toxin superfamily, Potassium channel inhibitor family",23,,,Contains 3 disulfide bonds
P56678,Leiurus quinquestriatus hebraeus (Yellow scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",67,,LD(50) is 50 mg/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:9690781}.,
C9X4K7,Tityus discrepans (Venezuelan scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",85,,,
C0H690,Acropora millepora (Staghorn coral),Cnidaria small cysteine-rich protein (SCRiP) family,89,,,Contains 4 disulfide bonds
Q7YWA7,Vespa magnifica (Hornet),Secapin family,77,,,
P61097,Segestria florentina (Tube-web spider) (Segestria gracilis),Spider toxin SFI family,46,,,
Q9GQV6,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",84,,,
P58570,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",20,fragment,,
P84676,Tityus obscurus (Amazonian scorpion) (Tityus cambridgei),,10,fragment,,
P84694,Tityus obscurus (Amazonian scorpion) (Tityus cambridgei),,10,fragment,,
Q9GUA7,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",85,,,
P0C8X7,Tityus stigmurus (Brazilian scorpion),"Short scorpion toxin superfamily, Potassium channel inhibitor family",15,fragment,,Contains 4 disulfide bonds
C9X4K0,Tityus discrepans (Venezuelan scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",60,,,
Q95P89,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),,60,,,
H1ZZI4,Tityus obscurus (Amazonian scorpion) (Tityus cambridgei),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",83,,,
Q86SE1,Androctonus amoreuxi (African fattail scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",83,,,The C-terminal basic residue is removed by a carboxypeptidase.
P0DJH8,Buthacus macrocentrus (Turkish scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",67,,10 ug of this toxin kills a mouse of 20g body weight within 20 minutes after intraperitoneal injection. {ECO:0000269|PubMed:22245624}.,
P45666,Centruroides limpidus (Mexican scorpion) (Centruroides limpidus limpidus),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",66,,,
P01492,Centruroides sculpturatus (Bark scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",87,,PD(50) is 11.0 mg/kg of insects (crickets). {ECO:0000269|PubMed:4460885}.,
P45697,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",84,,"LD(50) is 0.75 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:12705833}.; LD(50) is 0.53 mg/kg by intravenous injection into tail mice. {ECO:0000269|PubMed:12705833, ECO:0000269|PubMed:15677695}.",
P15226,Tityus serrulatus (Brazilian scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",84,,"LD(50) is 4.7 ug by subcutaneous injection into mice (235 ug/kg). {ECO:0000305|PubMed:30059695}.; LD(50) is 826 +/- 156 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:2781589}.; LD(50) is 11 +/- 9 ug/kg by intracistenal injection into mice. {ECO:0000269|PubMed:2781589}.; LD(50) is 0.6 ng by intracerebroventricular injection into mice (30 ng/kg). {ECO:0000269|PubMed:2781589, ECO:0000305|PubMed:30059695}.; LD(50) is 1.7 ng by intracerebroventricular injection into mice (85 ng/kg). {ECO:0000269|PubMed:10091586}.",C-terminal amidation is important for high activity
P59898,Centruroides limpidus (Mexican scorpion) (Centruroides limpidus limpidus),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",66,,,
P08900,Centruroides suffusus suffusus (Mexican scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",66,,LD(50) is 25 ug/kg by subcutaneous injection into mice and 0.25 ug/kg by intracerebroventricular injection. {ECO:0000269|PubMed:2435711}.; LD(100) is 3 ug/kg by intracranial injection into mice. {ECO:0000269|PubMed:21329715}.,C-terminal amidation increases its affinity for sodium channels
P59355,Leiurus quinquestriatus hebraeus (Yellow scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",64,,LD(50) is 1.9 mg/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:9690781}.,
C0HJM9,Tityus fasciolatus (Central Brazilian scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",84,,,Contains 4 disulfide bonds
P84631,Tityus pachyurus (Colombian scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family",65,,,
E7CLP1,Rhopalurus junceus (Caribbean blue scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",83,fragment,,
P45658,Androctonus australis (Sahara scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",84,,LD(50) is 0.9 ug/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:3564061}.; LD(50) is 0.75 ug/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:31668811}.,
B8XH22,Buthus occitanus israelis (Common yellow scorpion),,64,,,
Q9BLM0,Androctonus australis (Sahara scorpion),Long (3 C-C) scorpion toxin superfamily,72,,,
Q9BLM1,Androctonus australis (Sahara scorpion),Long (3 C-C) scorpion toxin superfamily,72,,,
A0F0C2,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",86,,,
P86406,Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family",66,,,
P0DL24,Tityus pachyurus (Colombian scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",20,fragment,,
Q95WD3,Centruroides sculpturatus (Bark scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",86,,,
P45665,Centruroides noxius (Mexican scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",86,,,
C1KIZ4,Orbicella faveolata (Mountainous star coral) (Montastraea faveolata),Cnidaria small cysteine-rich protein (SCRiP) family,68,,,Contains 4 disulfide bonds
Q68PG4,Centruroides exilicauda (Bark scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",66,,,
H1ZZI1,Tityus obscurus (Amazonian scorpion) (Tityus cambridgei),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",83,,,
P60262,Tityus discrepans (Venezuelan scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",29,fragment,,
Q86SD9,Androctonus amoreuxi (African fattail scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",86,,,The C-terminal basic residue is removed by a carboxypeptidase.
Q7Z1K9,Centruroides limpidus (Mexican scorpion) (Centruroides limpidus limpidus),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",87,,,
P56608,Tityus bahiensis (Brazilian scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",62,,,
P0C8X5,Tityus stigmurus (Brazilian scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",64,,,
D5HR53,Androctonus crassicauda (Arabian fat-tailed scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",79,,,
P58328,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily",64,,LD(50) is 4 mg/kg +/- 0.25 by intravenous injection into mice. {ECO:0000269|PubMed:9203297}.,
P60215,Tityus obscurus (Amazonian scorpion) (Tityus cambridgei),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",86,,,
Q68PG7,Centruroides exilicauda (Bark scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",67,fragment,,
P61099,Segestria florentina (Tube-web spider) (Segestria gracilis),Spider toxin SFI family,46,,,
P68723,Leiurus quinquestriatus hebraeus (Yellow scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",88,,,
P59863,Buthus occitanus tunetanus (Common European scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",60,,,
P68727,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",61,,,
P0DJK9,Isometrus maculatus (Lesser brown scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",63,,,
P61095,Segestria florentina (Tube-web spider) (Segestria gracilis),Spider toxin SFI family,46,,"LD(50) is 10 mg/kg on H.virescens larvae. {ECO:0000269|PubMed:11689233}.; PD(50) are 2.2 +-0.2 and 1.5 +-0.3 nmol/g (native and recombinant toxins, respectively) when injected into sheep blowfiles (L.cuprina). {ECO:0000269|PubMed:25559770}.",
P61102,Segestria florentina (Tube-web spider) (Segestria gracilis),Spider toxin SFI family,46,,,
P68721,Leiurus quinquestriatus hebraeus (Yellow scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",88,,,
P80962,Buthacus arenicola (North African scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",61,,,
P0C5I5,Leiurus quinquestriatus hebraeus (Yellow scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",85,,PD(50) is 3-5 ng/100 mg of body weight of Sarcophaga larvae for both contraction and flaccid paralysis. {ECO:0000269|PubMed:15966742}.,
P55904,Buthus occitanus tunetanus (Common European scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",61,,LD(50) is 1.1 ug/g in Blattella germanica. {ECO:0000269|PubMed:9080593}.,
P0C8J3,Vipera ammodytes ammodytes (Western sand viper),Snaclec family,11,fragment,,N-glycosylated
P0C8J5,Vipera ammodytes ammodytes (Western sand viper),Snaclec family,16,fragment,,N-glycosylated
Q4PRD0,Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis),Snaclec family,148,,,
Q6X5S2,Echis pyramidum leakeyi (Leakey's carpet viper) (Echis carinatus leakeyi),Snaclec family,148,,,Contains disulfide bonds.
Q9PS05,Bothrops jararaca (Jararaca) (Bothrops jajaraca),Snaclec family,30,fragment,,
B4XSZ5,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,156,,,
B4XSZ9,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,133,,,
B4XSY5,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,156,,,
Q71RQ1,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),Snaclec family,158,,,
Q71RP8,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),Snaclec family,148,,,
B4XSY6,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,156,,,
B4XSY7,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,156,,,
P0DMM7,Tropidolaemus wagleri (Wagler's pit viper) (Trimeresurus wagleri),Snaclec family,10,fragment,,
W5XDM0,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,152,,,
J3RY43,Crotalus adamanteus (Eastern diamondback rattlesnake),Snaclec family,142,,,
P81397,Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma),Snaclec family,133,,,
Q4PRD1,Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis),Snaclec family,146,,,"N-glycosylated; probably required for conformation. Removal of easily accessible sugars does not change its functional capacity, but removal of the core sugars with N-glycanase causes a virtually complete loss of enzyme activity, apparently as a result of major conformational changes in the molecule. Not O-glycosylated"
Q9I840,Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma),Snaclec family,146,,,
Q719L8,Crotalus durissus terrificus (South American rattlesnake),Snaclec family,148,,,
Q8I0K7,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family",85,,LD(50) is 0.8 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:12230558}.,
B4XSZ7,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,133,,,
P0DJC8,Bothrops asper (Terciopelo),Snaclec family,62,fragment,,
P0DJL4,Daboia palaestinae (Palestine viper) (Vipera palaestinae),Snaclec family,107,fragment,,
P81017,Echis carinatus sochureki (Saw-scaled viper),Snaclec family,133,,,
Q9YGN5,Gloydius brevicaudus (Korean slamosa snake) (Agkistrodon halys brevicaudus),Snaclec family,154,,,
Q71RR4,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),Snaclec family,152,,,
B4XT02,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,148,,,
B4XT05,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,125,fragment,,
B4XT08,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,148,,,
Q71RQ9,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),Snaclec family,146,,,
P0CV88,Crotalus atrox (Western diamondback rattlesnake),Snaclec family,13,fragment,,
P0C930,Bothrops insularis (Golden lancehead) (Lachesis insularis),Snaclec family,127,,,
P0DJL5,Daboia palaestinae (Palestine viper) (Vipera palaestinae),Snaclec family,125,,,
Q9YI92,Gloydius blomhoffii (Mamushi) (Agkistrodon halys blomhoffi),Snaclec family,146,,,
D1MGU1,Protobothrops jerdonii (Jerdon's pitviper) (Trimeresurus jerdonii),Snaclec family,146,,,
Q9DEA2,Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus),Snaclec family,155,,,
D2YW39,Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma),Snaclec family,135,fragment,,
Q8JIW1,Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus),Snaclec family,146,,,
P0DMH1,Bothrops fonsecai (Fonseca's lancehead) (Rhinocerophis fonsecai),Snaclec family,15,fragment,,
Q8JIV8,Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus),Snaclec family,155,,,
P01497,Androctonus australis (Sahara scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",88,,PD(50) is 0.099 ng/mg of insects. {ECO:0000269|PubMed:2334710}.,
O61668,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",88,,PD(50) is 0.18 ng/mg of Gryllus bimaculatus crickets. {ECO:0000269|PubMed:11042276}.,
P15147,Androctonus australis (Sahara scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",88,,,
P0C5J0,Leiurus quinquestriatus hebraeus (Yellow scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",85,,"PD(50) is 19 ng/100 mg of body weight of Sarcophaga larvae for contraction paralysis, and 85 ng/100 mg for flaccid paralysis. {ECO:0000269|PubMed:15966742}.",
P21150,Androctonus australis (Sahara scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family",65,,,
O77091,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",90,,PD(50) is 0.49 ng/mg in Gryllus bimaculatus crickets. {ECO:0000269|PubMed:11042276}.,
Q6X5T5,Bitis arietans (African puff adder),Snaclec family,146,,,
P0C8J4,Vipera ammodytes ammodytes (Western sand viper),Snaclec family,19,fragment,,N-glycosylated.
Q6X5S4,Echis carinatus sochureki (Saw-scaled viper),Snaclec family,146,,,
Q8JIV9,Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus),Snaclec family,154,,,
O93427,Crotalus durissus terrificus (South American rattlesnake),Snaclec family,148,,,
Q7T2Q0,Echis multisquamatus (Central Asian sand viper),Snaclec family,154,,,
Q09GK0,Philodryas olfersii (Green snake),Snaclec family,156,,,
Q8JGT7,Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus),Snaclec family,158,,,The complex is glycosylated
Q7YWB0,Apis cerana cerana (Oriental honeybee),Secapin family,77,,,
Q7YWA9,Vespula maculifrons (Eastern yellow jacket) (Wasp),Secapin family,77,,,
P61098,Segestria florentina (Tube-web spider) (Segestria gracilis),Spider toxin SFI family,46,,,
O76963,Orthochirus scrobiculosus (Central Asian scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",64,,PD(50) is 12 mg/kg when injected into tobacco budworm larvae (H.virescens). {ECO:0000269|PubMed:10669025}.,
P81798,Echis multisquamatus (Central Asian sand viper),Snaclec family,29,fragment,,
P68724,Leiurus quinquestriatus hebraeus (Yellow scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",88,,,
P19855,Leiurus quinquestriatus quinquestriatus (Egyptian scorpion) (Deathstalker scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",82,,,
P0C5I8,Leiurus quinquestriatus hebraeus (Yellow scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",85,,"PD(50) is 19 ng/100 mg of body weight of Sarcophaga larvae for contraction paralysis, and 85 ng/100 mg for flaccid paralysis. {ECO:0000269|PubMed:15966742}.",
P82813,Hottentotta tamulus sindicus (Scorpion) (Buthus sindicus),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",61,,LD(50) is 163 ng/100 mg of body weight of cockroach (B.germanica) and 103 ng/100 mg of body weight of blowfly larvae (S.falculata). {ECO:0000269|PubMed:11437351}.,
Q17231,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",64,,,
Q9PSM6,Bothrops jararaca (Jararaca) (Bothrops jajaraca),Snaclec family,142,,,
C0HJQ0,Bothrops diporus (Chaco lancehead) (Bothrops neuwiedi diporus),Snaclec family,32,fragment,,
Q6X5T0,Echis ocellatus (Ocellated saw-scaled viper),Snaclec family,148,,,
Q6X5S5,Echis ocellatus (Ocellated saw-scaled viper),Snaclec family,148,fragment,,
Q9PSM9,Echis carinatus (Saw-scaled viper),Snaclec family,131,,,
Q71RR0,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),Snaclec family,129,fragment,,
P23807,Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis),Snaclec family,146,,,
P81111,Trimeresurus albolabris (White-lipped pit viper) (Cryptelytrops albolabris),Snaclec family,131,,,
Q8AYA5,Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus),Snaclec family,158,,,
B4XSZ3,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,156,fragment,,
Q6TPG9,Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus),Snaclec family,148,,,
Q5FZI5,Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus),Snaclec family,144,,,
P61094,Segestria florentina (Tube-web spider) (Segestria gracilis),Spider toxin SFI family,18,fragment,LD(50) is 4 mg/kg on H.virescens larvae. {ECO:0000269|PubMed:11689233}.,Contains 4 disulfide bonds
Q6T7B6,Bitis gabonica (Gaboon adder) (Gaboon viper),Snaclec family,156,,,
Q6T7B5,Bitis gabonica (Gaboon adder) (Gaboon viper),Snaclec family,157,,,
B0VXV2,Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorus edwardsii),Snaclec family,151,,,
Q6X5T3,Bitis arietans (African puff adder),Snaclec family,152,,,
Q6X5T2,Bitis arietans (African puff adder),Snaclec family,148,,,
Q9PSM8,Echis carinatus (Saw-scaled viper),Snaclec family,125,,,
B4XSY4,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,156,,,
B4XSZ2,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,156,,,
P81112,Trimeresurus albolabris (White-lipped pit viper) (Cryptelytrops albolabris),Snaclec family,134,,,
Q8AV97,Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis),Snaclec family,158,,,
P0C8I9,Bothrops alternatus (Urutu) (Rhinocerophis alternatus),Snaclec family,25,fragment,,
Q9DEF8,Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus),Snaclec family,146,,,
B4XSY8,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,131,,,
B4XSZ1,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,157,,,
P0C8J0,Ophiophagus hannah (King cobra) (Naja hannah),Snaclec family,20,fragment,,
Q7LZK6,Protobothrops tokarensis (Tokara habu) (Trimeresurus tokarensis),Snaclec family,40,fragment,,
P81996,Echis carinatus sochureki (Saw-scaled viper),Snaclec family,123,,,
P84037,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,43,fragment,,Glycosylated
P0DJL3,Trimeresurus purpureomaculatus (Mangrove pit viper) (Cryptelytrops purpureomaculatus),Snaclec family,123,,,
Q9DEA1,Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus),Snaclec family,146,,,
W5XCJ6,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,154,,,
P81398,Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma),Snaclec family,129,,,
Q7T045,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,146,,,
Q7LZ24,Vipera aspis aspis (Aspic viper),Snaclec family,13,fragment,,N-glycosylated
D9U297,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",86,,,
P0CI82,Lychas mucronatus (Chinese swimming scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",94,,,
C0HJB4,Homostichanthus duerdeni (Sea anemone) (Stichodactyla duerdeni),,29,,,
B1B5J0,Stichodactyla haddoni (Saddle carpet anemone) (Haddon's sea anemone),,86,,,
Q9XY87,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",85,,,
P0C5S7,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",15,fragment,,
P23806,Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis),Snaclec family,152,,,
Q71RR2,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),Snaclec family,144,,,
B4XSZ4,Macrovipera lebetina (Levantine viper) (Vipera lebetina),Snaclec family,156,,,
O93426,Crotalus durissus terrificus (South American rattlesnake),Snaclec family,158,,,
Q7T248,Echis carinatus (Saw-scaled viper),Snaclec family,135,fragment,,
Q7T2Q1,Echis multisquamatus (Central Asian sand viper),Snaclec family,157,,,
Q7LZ71,Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis),Snaclec family,129,,,
Q7T247,Echis carinatus (Saw-scaled viper),Snaclec family,146,,,
Q9DG31,Gloydius halys (Chinese water mocassin) (Agkistrodon halys),Snaclec family,146,,,
Q7LZI6,Protobothrops tokarensis (Tokara habu) (Trimeresurus tokarensis),Snaclec family,40,fragment,,
P22029,Bothrops jararaca (Jararaca) (Bothrops jajaraca),Snaclec family,133,,,
D2YW40,Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma),Snaclec family,124,,,
J3S3U6,Crotalus adamanteus (Eastern diamondback rattlesnake),Snaclec family,150,,,
E2DQZ5,Protobothrops jerdonii (Jerdon's pitviper) (Trimeresurus jerdonii),Snaclec family,148,,,
