Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM,Gene Ontology (GO),Gene Ontology (molecular function),Protein existence
P0C2L6,Hadronyche infensa (Fraser island funnel-web spider) (Atrax infensus),153481,Neurotoxin 08 (Shiva) family,79,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
P0DMQ1,Hadronyche modesta (Victorian funnel-web spider),1337084,Neurotoxin 08 (Shiva) family,84,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),3: Inferred from homology;
P81595,Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus),6904,Neurotoxin 08 (Shiva) family,37,,LD(50) is 224 pmol/g when injected into house crickets (Acheta domestica). {ECO:0000269|PubMed:10491095}.,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
S0F1N7,Hadronyche venenata (Tasmanian funnel-web spider) (Atrax venenatus),1337083,Neurotoxin 08 (Shiva) family,84,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),3: Inferred from homology;
A5A3H2,Atrax robustus (Sydney funnel-web spider),6903,Neurotoxin 08 (Shiva) family,78,,,,GO:0005576 (extracellular region); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0C2L7,Hadronyche infensa (Fraser island funnel-web spider) (Atrax infensus),153481,Neurotoxin 08 (Shiva) family,37,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
P0DMQ2,Hadronyche modesta (Victorian funnel-web spider),1337084,Neurotoxin 08 (Shiva) family,84,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),3: Inferred from homology;
P81596,Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus),6904,Neurotoxin 08 (Shiva) family,37,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
A5A3H3,Atrax robustus (Sydney funnel-web spider),6903,Neurotoxin 08 (Shiva) family,78,,,,GO:0005576 (extracellular region); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
S0F1N6,Hadronyche infensa (Fraser island funnel-web spider) (Atrax infensus),153481,Neurotoxin 08 (Shiva) family,79,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),3: Inferred from homology;
P0DMQ3,Hadronyche modesta (Victorian funnel-web spider),1337084,Neurotoxin 08 (Shiva) family,84,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),3: Inferred from homology;
P81597,Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus),6904,Neurotoxin 08 (Shiva) family,37,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
A5A3H4,Atrax robustus (Sydney funnel-web spider),6903,Neurotoxin 08 (Shiva) family,78,,,,GO:0005576 (extracellular region); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
S0F1N0,Hadronyche infensa (Fraser island funnel-web spider) (Atrax infensus),153481,Neurotoxin 08 (Shiva) family,79,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),3: Inferred from homology;
P81598,Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus),6904,Neurotoxin 08 (Shiva) family,37,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
A5A3H5,Atrax robustus (Sydney funnel-web spider),6903,Neurotoxin 08 (Shiva) family,78,,,,GO:0005576 (extracellular region); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
S0F204,Hadronyche infensa (Fraser island funnel-web spider) (Atrax infensus),153481,Neurotoxin 08 (Shiva) family,79,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),3: Inferred from homology;
P81599,Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus),6904,Neurotoxin 08 (Shiva) family,37,,LD(50) is 1384 pmol/g when injected into house crickets (Acheta domestica). {ECO:0000269|PubMed:10491095}.,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
S0F215,Hadronyche infensa (Fraser island funnel-web spider) (Atrax infensus),153481,Neurotoxin 08 (Shiva) family,78,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),3: Inferred from homology;
Q9BJV9,Hadronyche infensa (Fraser island funnel-web spider) (Atrax infensus),153481,Neurotoxin 15 family,102,,,,GO:0005576 (extracellular region); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DX99,Atrax robustus (Sydney funnel-web spider),6903,Neurotoxin 15 family,98,,,,GO:0005576 (extracellular region); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
A0A1D3IY23,Tityus obscurus (Amazonian scorpion) (Tityus cambridgei),1221240,,65,,,,GO:0005576 (extracellular region),,1: Evidence at protein level;
A0A1D3IXR7,Tityus obscurus (Amazonian scorpion) (Tityus cambridgei),1221240,Non-disulfide-bridged peptide (NDBP) superfamily,74,,,,GO:0042742 (defense response to bacterium); GO:0050832 (defense response to fungus); GO:0045087 (innate immune response); GO:0031640 (killing of cells of another organism); GO:0005576 (extracellular region),,1: Evidence at protein level;
P0DQT2,Tityus obscurus (Amazonian scorpion) (Tityus cambridgei),1221240,Non-disulfide-bridged peptide (NDBP) superfamily,17,,,,GO:0042742 (defense response to bacterium); GO:0050832 (defense response to fungus); GO:0045087 (innate immune response); GO:0031640 (killing of cells of another organism); GO:0005576 (extracellular region),,1: Evidence at protein level;
P15969,Agelenopsis aperta (North American funnel-web spider) (Agelenopsis gertschi),6908,Neurotoxin 04 (omega-agtx) family,112,,,Proteolytically processed to yield the major and the minor chains.,GO:0005576 (extracellular region); GO:0044231 (host cell presynaptic membrane); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P15970,Agelenopsis aperta (North American funnel-web spider) (Agelenopsis gertschi),6908,Neurotoxin 04 (omega-agtx) family,36,fragment,,,GO:0005576 (extracellular region); GO:0044231 (host cell presynaptic membrane); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P15971,Agelenopsis aperta (North American funnel-web spider) (Agelenopsis gertschi),6908,Neurotoxin 04 (omega-agtx) family,28,fragment,,,GO:0005576 (extracellular region); GO:0044231 (host cell presynaptic membrane); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P33034,Agelenopsis aperta (North American funnel-web spider) (Agelenopsis gertschi),6908,Neurotoxin 04 (omega-agtx) family,76,,,,GO:0005576 (extracellular region); GO:0044231 (host cell presynaptic membrane); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P81744,Agelenopsis aperta (North American funnel-web spider) (Agelenopsis gertschi),6908,Neurotoxin 04 (omega-agtx) family,76,,,,GO:0005576 (extracellular region); GO:0044231 (host cell presynaptic membrane); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P81745,Agelenopsis aperta (North American funnel-web spider) (Agelenopsis gertschi),6908,Neurotoxin 04 (omega-agtx) family,43,fragment,,,GO:0005576 (extracellular region); GO:0044231 (host cell presynaptic membrane); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P81746,Agelenopsis aperta (North American funnel-web spider) (Agelenopsis gertschi),6908,Neurotoxin 04 (omega-agtx) family,37,fragment,,Disulfide bonds are present. {ECO:0000305}.,GO:0005576 (extracellular region); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
S0F1M6,Atrax robustus (Sydney funnel-web spider),6903,Neurotoxin 08 (Shiva) family,76,,,,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
S0F207,Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus),6904,Neurotoxin 08 (Shiva) family,76,,,,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
S0F209,Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus),6904,Neurotoxin 08 (Shiva) family,76,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
P83588,Missulena bradleyi (Eastern mouse spider),230234,Neurotoxin 08 (Shiva) family,39,,,Contains 3 disulfide bonds. {ECO:0000305}.,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
C0HLF5,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),666126,Cationic peptide 02 (oxyopinin-2) family,48,,,,GO:0042742 (defense response to bacterium); GO:0031640 (killing of cells of another organism); GO:0005576 (extracellular region); GO:0016020 (membrane); GO:0044218 (other organism cell membrane); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
C0HLF6,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),666126,Cationic peptide 02 (oxyopinin-2) family,48,,,,GO:0042742 (defense response to bacterium); GO:0031640 (killing of cells of another organism); GO:0005576 (extracellular region); GO:0016020 (membrane); GO:0044218 (other organism cell membrane); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
P83247,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),666126,Cationic peptide 02 (oxyopinin-2) family,48,,,,GO:0042742 (defense response to bacterium); GO:0031640 (killing of cells of another organism); GO:0006811 (monoatomic ion transport); GO:0005576 (extracellular region); GO:0016020 (membrane); GO:0044218 (other organism cell membrane); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
P83248,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),666126,Cationic peptide 02 (oxyopinin-2) family,37,,,,GO:0042742 (defense response to bacterium); GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
P83249,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),666126,Cationic peptide 02 (oxyopinin-2) family,37,,,,GO:0042742 (defense response to bacterium); GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
P83250,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),666126,Cationic peptide 02 (oxyopinin-2) family,37,,,,GO:0042742 (defense response to bacterium); GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
P83251,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),666126,Cationic peptide 02 (oxyopinin-2) family,37,,,,GO:0042742 (defense response to bacterium); GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
C0HLF9,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),666126,,26,,,,GO:0031640 (killing of cells of another organism); GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
C0HLG0,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),666126,,26,,,,GO:0031640 (killing of cells of another organism); GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
C0HLG1,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),666126,,25,,,,GO:0031640 (killing of cells of another organism); GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
F8J4S0,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),666126,,77,,,,GO:0050829 (defense response to Gram-negative bacterium); GO:0050830 (defense response to Gram-positive bacterium); GO:0044179 (hemolysis in another organism); GO:0005576 (extracellular region); GO:0016020 (membrane); GO:0044218 (other organism cell membrane); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
P84093,Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer),6918,Neurotoxin 04 (omega-agtx) family,80,fragment,,,GO:0005576 (extracellular region); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
Q9BJV8,Atrax sp. (strain Illawarra) (Funnel-web spider),153482,Neurotoxin 15 family,100,,,,GO:0005576 (extracellular region); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P82852,Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus),6904,Neurotoxin 15 family,45,,,,GO:0005576 (extracellular region); GO:0019855 (calcium channel inhibitor activity); GO:0090729 (toxin activity),GO:0019855 (calcium channel inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;
Q9BJV7,Atrax sp. (strain Illawarra) (Funnel-web spider),153482,Neurotoxin 15 family,100,,,,GO:0005576 (extracellular region); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
Q9BJW0,Hadronyche infensa (Fraser island funnel-web spider) (Atrax infensus),153481,Neurotoxin 15 family,102,,,,GO:0005576 (extracellular region); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P0C8M0,Oxyopes lineatus (Lynx spider),366495,Spiderine family,69,,PD(50) is 5.0 +- 0.3 nmol/g on lepidopteran larvae (Spodoptera litura). {ECO:0000269|PubMed:18606178}.,,GO:0005576 (extracellular region); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P83288,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),666126,Spiderine family,123,,LD(50) is 5.1 +- 0.5 nmol/g on lepidopteran larvae (Spodoptera litura). {ECO:0000269|PubMed:11976325}.,Mass spectrometry data suggest a carboxylated free C-terminal residue.,GO:0005576 (extracellular region); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P84756,Oxyopes lineatus (Lynx spider),366495,Spiderine family,55,,,,GO:0005576 (extracellular region); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
A0A1L1QJU3,Hadronyche infensa (Fraser island funnel-web spider) (Atrax infensus),153481,Psalmotoxin-1 family,75,,,,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DP46,Hadronyche infensa (Fraser island funnel-web spider) (Atrax infensus),153481,Psalmotoxin-1 family,75,,,,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P0DP47,Hadronyche infensa (Fraser island funnel-web spider) (Atrax infensus),153481,Psalmotoxin-1 family,128,,,,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DP48,Hadronyche infensa (Fraser island funnel-web spider) (Atrax infensus),153481,Psalmotoxin-1 family,75,,,,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
A0A8K1YTT5,Cotesia flavipes (Parasitic wasp) (Apanteles flavipes),89805,,82,,,Contains 4 disulfide bonds. {ECO:0000305|PubMed:36434808}.,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),3: Inferred from homology;
P84465,Pandinus imperator (Emperor scorpion),55084,,4,,,,GO:0005576 (extracellular region); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P84464,Pandinus imperator (Emperor scorpion),55084,,4,,,,GO:0005576 (extracellular region); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
Q8MMG9,Pimpla hypochondriaca (Parasitoid wasp),135724,Glycosyl hydrolase 37 family,585,,,,"GO:0005993 (trehalose catabolic process); GO:0005576 (extracellular region); GO:0004555 (alpha,alpha-trehalase activity)","GO:0004555 (alpha,alpha-trehalase activity)",1: Evidence at protein level;
A7BJ45,Triatoma infestans (Assassin bug),30076,Calycin superfamily,206,,,,GO:0005576 (extracellular region),,1: Evidence at protein level;
A7BJ46,Triatoma infestans (Assassin bug),30076,Calycin superfamily,206,,,,GO:0005576 (extracellular region),,1: Evidence at protein level;
Q27049,Meccus pallidipennis (Triatomine bug) (Triatoma pallidipennis),30077,Calycin superfamily,160,,,,GO:0005576 (extracellular region); GO:0004867 (serine-type endopeptidase inhibitor activity); GO:0090729 (toxin activity),GO:0004867 (serine-type endopeptidase inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;
Q18NS7,Triatoma infestans (Assassin bug),30076,Calycin superfamily,182,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),2: Evidence at transcript level;
Q18NS6,Triatoma infestans (Assassin bug),30076,Calycin superfamily,178,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),2: Evidence at transcript level;
K9IMD0,Desmodus rotundus (Vampire bat),9430,Transferrin family,708,,,N-glycosylated (PubMed:9795244). Glycosylation is important for draculin anticoagulant activity (PubMed:9795244). Probably also O- glycosylated (PubMed:9795244). {ECO:0000269|PubMed:9795244}.,GO:0019731 (antibacterial humoral response); GO:0006826 (iron ion transport); GO:0030195 (negative regulation of blood coagulation); GO:0001503 (ossification); GO:0006508 (proteolysis); GO:0005769 (early endosome); GO:0005615 (extracellular space); GO:0005886 (plasma membrane); GO:0055037 (recycling endosome); GO:0046872 (metal ion binding); GO:0008236 (serine-type peptidase activity); GO:0090729 (toxin activity),GO:0046872 (metal ion binding); GO:0008236 (serine-type peptidase activity); GO:0090729 (toxin activity),1: Evidence at protein level;
A0A218QX39,Tityus serrulatus (Brazilian scorpion),6887,,70,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),3: Inferred from homology;
C0HLZ5,Androctonus australis (Sahara scorpion),6858,,4,fragment,,,GO:0005576 (extracellular region); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
F6KSY1,Ixodes scapularis (Black-legged tick) (Deer tick),6945,Salp14 family,91,,,Glycosylated; deglycosylation largely abrogates the complement inhibitory effect. {ECO:0000269|PubMed:21843870}.,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
P0DMD6,Tityus serrulatus (Brazilian scorpion),6887,Natriuretic peptide family,21,,,,GO:0008217 (regulation of blood pressure); GO:0042311 (vasodilation); GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
P81803,Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus),6904,MIT-like AcTx family,68,,,,GO:0005576 (extracellular region),,1: Evidence at protein level;
D5KXH4,Gemmula speciosa (Splendid gem-turris) (Pleurotoma speciosa),439592,,118,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),2: Evidence at transcript level;
P0DKN1,Iotyrris olangoensis (Sea snail) (Lophiotoma olangoensis),2420066,Conopeptide P-like superfamily,74,,,Contains 3 disulfide bonds. {ECO:0000250}.,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0DKM9,Lophiotoma albina (Sea snail) (Xenuroturris albina),1525239,Conopeptide P-like superfamily,45,fragment,,,GO:0030154 (cell differentiation); GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0004867 (serine-type endopeptidase inhibitor activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0004867 (serine-type endopeptidase inhibitor activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0DKN5,Iotyrris olangoensis (Sea snail) (Lophiotoma olangoensis),2420066,,34,,,Contains 4 disulfide bonds. {ECO:0000250}.,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0DKN0,Iotyrris olangoensis (Sea snail) (Lophiotoma olangoensis),2420066,Conopeptide P-like superfamily,74,,,Contains 3 disulfide bonds. {ECO:0000250}.,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0DKN8,Iotyrris olangoensis (Sea snail) (Lophiotoma olangoensis),2420066,,82,,,Contains 6 disulfide bonds. {ECO:0000250}.,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0CI13,Iotyrris olangoensis (Sea snail) (Lophiotoma olangoensis),2420066,Conopeptide P-like superfamily,88,,,Contains 3 disulfide bonds. {ECO:0000250}.,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0DKP4,Iotyrris olangoensis (Sea snail) (Lophiotoma olangoensis),2420066,,127,,,The turripeptide OL172 conotoxin-like contains 2 disulfide bonds. {ECO:0000250}.,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DKM2,Iotyrris olangoensis (Sea snail) (Lophiotoma olangoensis),2420066,,70,,,,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0DKM5,Iotyrris olangoensis (Sea snail) (Lophiotoma olangoensis),2420066,,95,,,Contains 5 disulfide bonds. {ECO:0000250}.,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0DKN9,Iotyrris olangoensis (Sea snail) (Lophiotoma olangoensis),2420066,,114,,,Contains 6 disulfide bonds. {ECO:0000250}.,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0DKM4,Iotyrris olangoensis (Sea snail) (Lophiotoma olangoensis),2420066,,37,,,,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
D5KXG9,Gemmula speciosa (Splendid gem-turris) (Pleurotoma speciosa),439592,,92,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),2: Evidence at transcript level;
C0HKK6,Unedogemmula bisaya (Sea snail) (Lophiotoma bisaya),746885,,17,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
P0DKN4,Iotyrris olangoensis (Sea snail) (Lophiotoma olangoensis),2420066,,49,,,Contains 4 disulfide bonds. {ECO:0000250}.,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0DKN7,Iotyrris olangoensis (Sea snail) (Lophiotoma olangoensis),2420066,,26,,,Contains 3 disulfide bonds. {ECO:0000250}.,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0DKP3,Iotyrris cingulifera (Sea snail) (Pleurotoma cingulifera),553733,,104,,,Contains 8 disulfide bonds. {ECO:0000250}.,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0DKP0,Iotyrris olangoensis (Sea snail) (Lophiotoma olangoensis),2420066,,104,,,Contains 8 disulfide bonds. {ECO:0000250}.,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0DKP1,Lophiotoma acuta (Marbled turris) (Pleurotoma acuta),439593,,102,,,Contains 8 disulfide bonds. {ECO:0000250}.,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0DKP2,Lophiotoma albina (Sea snail) (Xenuroturris albina),1525239,,103,,,Contains 8 disulfide bonds. {ECO:0000250}.,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0DKN6,Iotyrris olangoensis (Sea snail) (Lophiotoma olangoensis),2420066,,26,,,Contains 2 disulfide bonds. {ECO:0000250}.,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
D5KXG5,Gemmula speciosa (Splendid gem-turris) (Pleurotoma speciosa),439592,,80,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),2: Evidence at transcript level;
