Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM
Q6TPG9,Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus),103944,snaclec family,148,,,
I7JUQ0,Bitis rhinoceros (West African gaboon viper) (Vipera rhinoceros),715877,snaclec family,156,,,
I7ICN3,Bitis rhinoceros (West African gaboon viper) (Vipera rhinoceros),715877,snaclec family,150,,,
P81798,Echis multisquamatus (Central Asian sand viper),93050,snaclec family,29,fragment,,
Q5FZI6,Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus),103944,snaclec family,156,,,
Q5FZI5,Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus),103944,snaclec family,144,,,
Q9IAM1,Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus),36307,snaclec family,152,,,
Q8JIW1,Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus),36307,snaclec family,146,,,
Q9DG39,Gloydius halys (Chinese water mocassin) (Agkistrodon halys),8714,snaclec family,152,,,
Q9I841,Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma),8717,snaclec family,136,,,
Q9I840,Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma),8717,snaclec family,146,,,
P0DMH1,Bothrops fonsecai (Fonseca's lancehead) (Rhinocerophis fonsecai),157549,snaclec family,15,fragment,,
Q719L8,Crotalus durissus terrificus (South American rattlesnake),8732,snaclec family,148,,,
Q8JIV8,Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus),36307,snaclec family,155,,,
Q202J4,Ixodes scapularis (Black-legged tick) (Deer tick),6945,arthropod phospholipase D family,364,,,
D9U2A1,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,86,,,
D9U297,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,86,,,
D9U2A5,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,89,,,
P0CI82,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,94,,,
P0CI58,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,87,,,
D9U298,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Alpha subfamily,83,,,
D9U2A0,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Alpha subfamily,83,,,
P0CI53,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Alpha subfamily,77,fragment,,
P0CI54,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Alpha subfamily,83,,,
P0CI57,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,81,,,
P0CI56,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,81,,,
P0CI50,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Alpha subfamily,81,,,
P0CI51,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Alpha subfamily,90,,,
P0CI52,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Alpha subfamily,83,,,
P0CI81,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,86,,,
P0CI59,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,86,,,
P0CI60,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,83,fragment,,
P0CI55,Lychas mucronatus (Chinese swimming scorpion),172552,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Alpha subfamily,86,,,
P0C2P6,Blarina brevicauda (Northern short-tailed shrew),9387,,54,,,Contains three disulfide bonds.
Q8MQS8,Apis mellifera (Honeybee),7460,peptidase S1 family,405,,,
Q7M4I3,Bombus pensylvanicus (American bumblebee) (Apis pensylvanica),28643,peptidase S1 family,243,,,
P0CH88,Bombus terrestris (Buff-tailed bumblebee) (Apis terrestris),30195,peptidase S1 family,20,fragment,,N-glycosylated. {ECO:0000250}.
Q7Z269,Polistes dominula (European paper wasp) (Vespa dominula),743375,peptidase S1 family,277,,,
P86716,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),666126,,166,,LD(50) is 75 ug/g on S.carnaria maggots. PD(50) is 75 ug/g on M.sexta first instar larvae. {ECO:0000269|PubMed:24118933}.,Disulfide bonds. {ECO:0000269|PubMed:24118933}.
P86717,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),666126,,166,,,
P86718,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),666126,,171,,,Disulfide bonds. {ECO:0000269|PubMed:24118933}.
P86719,Oxyopes takobius (Lynx spider) (Oxyopes foliiformis),666126,,171,,,
P0DJK0,Atractaspis irregularis (Variable burrowing asp) (Elaps irregularis),512568,endothelin/sarafotoxin family,118,,,Different length molecules ranging from 15 (85-99) to 30 amino acids (85-114) have been found in the venom. {ECO:0000269|PubMed:16223250}.
P0DJK1,Atractaspis irregularis (Variable burrowing asp) (Elaps irregularis),512568,endothelin/sarafotoxin family,118,,,Different length molecules ranging from 17 (85-101) to 30 amino acids (85-114) have been found in the venom. {ECO:0000269|PubMed:16223250}.
P80163,Atractaspis bibronii (Bibron's mole viper) (Southern stiletto snake),61304,endothelin/sarafotoxin family,21,,,
P13211,Atractaspis engaddensis (Israeli burrowing asp) (Israeli mole viper),1343144,endothelin/sarafotoxin family,21,,LD(50) is 0.35 mg/kg by intravenous injection. {ECO:0000269|PubMed:2509240}.,
Q6RY98,Atractaspis microlepidota microlepidota,172021,endothelin/sarafotoxin family,351,fragment,Sarafotoxin-m: LD(50) is 27-37 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:15350691}.,
P13208,Atractaspis engaddensis (Israeli burrowing asp) (Israeli mole viper),1343144,endothelin/sarafotoxin family,543,,Sarafotoxin-C: LD(50) is 0.3 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:3176048}.,
P0C8D4,Scolopendra angulata (Barbados giant red centipede),486498,scolopendra toxin 10 family,30,fragment,,
P0C8D6,Scolopendra viridicornis nigra (Brazilian giant centipede),486497,scolopendra toxin 10 family,13,fragment,,
P0C8D5,Scolopendra angulata (Barbados giant red centipede),486498,scolopendra toxin 10 family,31,fragment,,
P0C8D7,Scolopendra viridicornis nigra (Brazilian giant centipede),486497,scolopendra toxin 10 family,45,fragment,,
P0C8D8,Scolopendra viridicornis nigra (Brazilian giant centipede),486497,scolopendra toxin 10 family,12,fragment,,
P0CJ01,Lychas mucronatus (Chinese swimming scorpion),172552,,85,,,
P0CI98,Lychas mucronatus (Chinese swimming scorpion),172552,,94,,,
P0C8B6,Scolopendra angulata (Barbados giant red centipede),486498,scolopendra toxin 1 family,13,fragment,,
P0C8B7,Scolopendra viridicornis nigra (Brazilian giant centipede),486497,scolopendra toxin 1 family,31,fragment,,
D9U2A3,Lychas mucronatus (Chinese swimming scorpion),172552,,96,,,
P0C8B8,Scolopendra angulata (Barbados giant red centipede),486498,scolopendra toxin 2 family,15,fragment,,
P0C8B9,Scolopendra viridicornis nigra (Brazilian giant centipede),486497,scolopendra toxin 2 family,15,fragment,,
P0C8C0,Scolopendra angulata (Barbados giant red centipede),486498,scolopendra toxin 3 family,19,fragment,,
P0C8C1,Scolopendra angulata (Barbados giant red centipede),486498,scolopendra toxin 3 family,18,fragment,,
P01535,Anemonia sulcata (Mediterranean snakelocks sea anemone),6108,sea anemone short toxin (type III) family,27,,Dose that causes irreversible contraction paralysis (ED(50)) is 1.15 pmol/100 mg (native toxin) or 2.65 pmol/100 mg (recombinant toxin) when injected inter-segmentally into blowfly larvae (S.falculata). {ECO:0000269|PubMed:17492942}.,
P09949,Entacmaea quadricolor (Bubble-tip anemone) (Parasicyonis actinostoloides),6118,sea anemone short toxin (type III) family,32,,LD(50) is 10 pg/kg when injected into crabs. {ECO:0000269|PubMed:37290}.,Contains 4 disulfide bonds.
P0C8C2,Scolopendra viridicornis nigra (Brazilian giant centipede),486497,scolopendra toxin 3 family,34,fragment,,
P0C8C3,Scolopendra angulata (Barbados giant red centipede),486498,scolopendra toxin 4 family,9,fragment,,
P0C8C4,Scolopendra viridicornis nigra (Brazilian giant centipede),486497,scolopendra toxin 4 family,14,fragment,,
P0C8C5,Scolopendra angulata (Barbados giant red centipede),486498,scolopendra toxin 5 family,14,fragment,,
P0C8C6,Scolopendra viridicornis nigra (Brazilian giant centipede),486497,scolopendra toxin 5 family,18,fragment,,
P0CJ00,Lychas mucronatus (Chinese swimming scorpion),172552,,85,,,
P0CI99,Lychas mucronatus (Chinese swimming scorpion),172552,,96,,,
P0C8C7,Scolopendra angulata (Barbados giant red centipede),486498,scolopendra toxin 6 family,18,fragment,,
C3TS08,Anemonia viridis (Snakelocks anemone),51769,sea anemone short toxin (type III) family,72,,,
C3TS04,Anemonia viridis (Snakelocks anemone),51769,sea anemone short toxin (type III) family,71,,,
C3TS10,Anemonia viridis (Snakelocks anemone),51769,sea anemone short toxin (type III) family,72,,,
C3TS06,Anemonia viridis (Snakelocks anemone),51769,sea anemone short toxin (type III) family,71,,,
P0C8C8,Scolopendra viridicornis nigra (Brazilian giant centipede),486497,scolopendra toxin 7 family,13,fragment,,
P0C8C9,Scolopendra angulata (Barbados giant red centipede),486498,scolopendra toxin 8 family,17,fragment,,
P0C8D1,Scolopendra viridicornis nigra (Brazilian giant centipede),486497,scolopendra toxin 8 family,21,fragment,,
P0C8D0,Scolopendra angulata (Barbados giant red centipede),486498,scolopendra toxin 8 family,10,fragment,,
P0C8D2,Scolopendra viridicornis nigra (Brazilian giant centipede),486497,scolopendra toxin 8 family,29,fragment,,
P0C8D3,Scolopendra viridicornis nigra (Brazilian giant centipede),486497,scolopendra toxin 9 family,15,fragment,,
C3TS07,Anemonia viridis (Snakelocks anemone),51769,sea anemone short toxin (type III) family,61,,,
Q98989,Synanceia horrida (Estuarine stonefish) (Scorpaena horrida),13279,SNTX/VTX toxin family,703,,LD(50) of stonustoxin is 0.017 mg/kg by intravenous injection. {ECO:0000269|PubMed:1790672}.,Not glycosylated.
A0ZSK3,Synanceia verrucosa (Reef stonefish),51996,SNTX/VTX toxin family,703,,LD(50) is 0.047 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:17023116}.,Four intrachain disulfide linkages are present in the heterodimer. No interchain disulfide bound links the two subunits.
Q91453,Synanceia horrida (Estuarine stonefish) (Scorpaena horrida),13279,SNTX/VTX toxin family,700,,LD(50) of stonustoxin is 0.017 mg/kg by intravenous injection. {ECO:0000269|PubMed:1790672}.,Not glycosylated.
A0ZSK4,Synanceia verrucosa (Reef stonefish),51996,SNTX/VTX toxin family,700,,LD(50) is 0.047 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:17023116}.,Four intrachain disulfide linkages are present in the heterodimer. No interchain disulfide bound links the two subunits.
P0DMZ2,Dofleinia armata (Armed anemone),1664552,sea anemone short toxin (type III) family,31,,,Contains 4 disulfide bonds. {ECO:0000269|PubMed:12676443}.
P0C7K5,Atheris chlorechis (Western bush viper) (Vipera chlorechis),110216,pHpG family,24,,,
P0C7K4,Atheris squamigera (Variable bush viper),110225,pHpG family,24,,,
A8YPR9,Cerastes cerastes (Horned desert viper),8697,natriuretic peptide family,302,,,
P0C7K6,Atheris nitschei (Great lakes bush viper),110224,pHpG family,30,,,
P0DL07,Bothrops cotiara (Cotiara) (Rhinocerophis cotiara),8727,pHpG family,18,,,
P0DL08,Bothrops fonsecai (Fonseca's lancehead) (Rhinocerophis fonsecai),157549,pHpG family,18,,,
A8YPR6,Echis ocellatus (Ocellated saw-scaled viper),99586,pHpG family,308,,,
Q8MMH5,Pimpla hypochondriaca (Parasitoid wasp),135724,,61,,,
Q8MMH4,Pimpla hypochondriaca (Parasitoid wasp),135724,,78,,,
E7CLP3,Rhopalurus junceus (Caribbean blue scorpion),419285,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,83,,,
E7CLP2,Rhopalurus junceus (Caribbean blue scorpion),419285,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,83,,,Contains 4 disulfide bonds. {ECO:0000269|PubMed:21605585}.
F2YLA3,Rhopalurus junceus (Caribbean blue scorpion),419285,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,90,,,
E7CLP4,Rhopalurus junceus (Caribbean blue scorpion),419285,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,83,,,
E7CLP5,Rhopalurus junceus (Caribbean blue scorpion),419285,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,83,,,
P68725,Leiurus quinquestriatus hebraeus (Yellow scorpion),6884,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,83,,,
P68726,Leiurus quinquestriatus hebraeus (Yellow scorpion),6884,long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,85,,,
P0C5J8,Parabuthus liosoma (African black tail scorpion) (Parabuthus leiosoma),470425,,17,fragment,,
P0C1R2,Protonectarina sylveirae (Brazilian wasp),91438,,22,,,
P0DN46,Cinguloterebra anilis (Auger snail) (Triplostephanus anilis),553697,teretoxin A (TA) superfamily,62,,,Contains 2 disulfide bonds. {ECO:0000305}.
P0DN47,Terebra subulata (Chocolate spotted auger) (Buccinum subulatum),89435,teretoxin A (TA) superfamily,62,,,Contains 2 disulfide bonds. {ECO:0000305}.
P84011,Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer),6918,spider toxin Tx3-6 family,58,,,
P84018,Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer),6918,spider neurotoxin 21C2 family,33,,,
P83259,Pireneitega luctuosa (Tangled nest spider) (Paracoelotes luctuosus),185217,beta/delta-agatoxin family. Aga-2 subfamily,37,,,
Q5Y4V8,Agelena orientalis (Spider),293813,beta/delta-agatoxin family. Aga-2 subfamily,71,,,
P11058,Agelenopsis aperta (North American funnel-web spider) (Agelenopsis gertschi),6908,beta/delta-agatoxin family. Aga-2 subfamily,37,,Lethal dose is 75 +-27 mg/kg into third stadium larvae of M.sexta. {ECO:0000269|PubMed:2914898}.,
A0A0B4J184,Terebra variegata (Variegate auger snail),1167563,,21,,,
P60177,Hololena curta (Funnel-web spider) (Agelena curta),6910,beta/delta-agatoxin family. Aga-3 subfamily,38,,Lethal dose is 4 mg/kg into the thoracic cavity of crickets (A.domestica). {ECO:0000269|PubMed:2298738}.,
P15968,Hololena curta (Funnel-web spider) (Agelena curta),6910,beta/delta-agatoxin family. Aga-3 subfamily,38,,Lethal dose is 4 mg/kg into the thoracic cavity of crickets (A.domestica). {ECO:0000269|PubMed:2298738}.,
P83256,Pireneitega luctuosa (Tangled nest spider) (Paracoelotes luctuosus),185217,beta/delta-agatoxin family. Aga-3 subfamily,37,,,
P83257,Pireneitega luctuosa (Tangled nest spider) (Paracoelotes luctuosus),185217,beta/delta-agatoxin family. Aga-3 subfamily,37,,LD(50) is 24.2 ng/mg body weight of lepidoptera larvae. {ECO:0000269|PubMed:15683238}.,
Q5Y4V7,Agelena orientalis (Spider),293813,beta/delta-agatoxin family. Aga-3 subfamily,74,,,
P60178,Agelenopsis aperta (North American funnel-web spider) (Agelenopsis gertschi),6908,beta/delta-agatoxin family. Aga-3 subfamily,38,,Lethal dose is 28 +-12 mg/kg into third stadium larvae of M.sexta. {ECO:0000269|PubMed:2914898}.,
Q5Y4V5,Agelena orientalis (Spider),293813,beta/delta-agatoxin family. Aga-3 subfamily,74,,,
Q5Y4V6,Agelena orientalis (Spider),293813,beta/delta-agatoxin family. Aga-4 subfamily,73,,,
P11060,Agelenopsis aperta (North American funnel-web spider) (Agelenopsis gertschi),6908,beta/delta-agatoxin family. Aga-4 subfamily,37,,Lethal dose is 40 +-9 mg/kg into third stadium larvae of M.sexta. {ECO:0000269|PubMed:2914898}.,
P11061,Agelenopsis aperta (North American funnel-web spider) (Agelenopsis gertschi),6908,beta/delta-agatoxin family. Aga-4 subfamily,37,,Lethal dose is 48 +-11 mg/kg into third stadium larvae of M.sexta. {ECO:0000269|PubMed:2914898}.,
Q5Y4V4,Agelena orientalis (Spider),293813,beta/delta-agatoxin family. Aga-4 subfamily,73,,,
P11062,Agelenopsis aperta (North American funnel-web spider) (Agelenopsis gertschi),6908,beta/delta-agatoxin family. Aga-4 subfamily,37,,Lethal dose is 38 +-12 mg/kg into third stadium larvae of M.sexta. {ECO:0000269|PubMed:2914898}.,
Q5Y4V3,Agelena orientalis (Spider),293813,beta/delta-agatoxin family. Aga-4 subfamily,74,,LD(50) is 7 mg/kg in flesh fly larvae (S.carnaria). {ECO:0000269|PubMed:20385552}.,
Q5Y4V2,Agelena orientalis (Spider),293813,beta/delta-agatoxin family. Aga-4 subfamily,74,,,
Q5Y4V1,Agelena orientalis (Spider),293813,beta/delta-agatoxin family. Aga-4 subfamily,74,,,
Q5Y4V0,Agelena orientalis (Spider),293813,beta/delta-agatoxin family. Aga-4 subfamily,73,,,
Q5Y4U9,Agelena orientalis (Spider),293813,beta/delta-agatoxin family. Aga-4 subfamily,73,,,
Q5Y4U8,Agelena orientalis (Spider),293813,beta/delta-agatoxin family. Aga-4 subfamily,73,,,
P11057,Agelenopsis aperta (North American funnel-web spider) (Agelenopsis gertschi),6908,beta/delta-agatoxin family. Aga-5 subfamily,36,,Lethal dose is 28 +-7 mg/kg into third stadium larvae of M.sexta. {ECO:0000269|PubMed:2914898}.,
Q5Y4U7,Agelena orientalis (Spider),293813,beta/delta-agatoxin family. Aga-5 subfamily,70,,,
Q5Y4U6,Agelena orientalis (Spider),293813,beta/delta-agatoxin family. Aga-5 subfamily,70,,,
P0DN51,Cinguloterebra anilis (Auger snail) (Triplostephanus anilis),553697,teretoxin M (TM) superfamily,80,,,Contains 3 disulfide bonds. {ECO:0000305}.
P0DN52,Cinguloterebra anilis (Auger snail) (Triplostephanus anilis),553697,teretoxin M (TM) superfamily,91,,,Contains 3 disulfide bonds. {ECO:0000305}.
P0DN53,Terebra subulata (Chocolate spotted auger) (Buccinum subulatum),89435,,99,,,Contains 3 disulfide bonds. {ECO:0000305}.
P0DN54,Terebra subulata (Chocolate spotted auger) (Buccinum subulatum),89435,teretoxin M (TM) superfamily,80,,,Contains 3 disulfide bonds. {ECO:0000305}.
P0DN55,Cinguloterebra anilis (Auger snail) (Triplostephanus anilis),553697,,89,,,Contains 3 disulfide bonds. {ECO:0000305}.
P0DN56,Terebra subulata (Chocolate spotted auger) (Buccinum subulatum),89435,teretoxin M (TM) superfamily,81,,,Contains 3 disulfide bonds. {ECO:0000305}.
P0DN48,Cinguloterebra anilis (Auger snail) (Triplostephanus anilis),553697,,96,,,Contains 3 disulfide bonds. {ECO:0000305}.
P0DN49,Terebra subulata (Chocolate spotted auger) (Buccinum subulatum),89435,teretoxin M (TM) superfamily,78,,,Contains 3 disulfide bonds. {ECO:0000305}.
P0DN50,Terebra subulata (Chocolate spotted auger) (Buccinum subulatum),89435,teretoxin M (TM) superfamily,86,,,Contains 3 disulfide bonds. {ECO:0000305}.
Q5D231,Illawarra wisharti (Funnel-web spider),278061,MIT-like AcTx family,84,,,
Q5D230,Illawarra wisharti (Funnel-web spider),278061,MIT-like AcTx family,88,fragment,,
Q5D228,Illawarra wisharti (Funnel-web spider),278061,MIT-like AcTx family,88,fragment,,
Q5D229,Illawarra wisharti (Funnel-web spider),278061,MIT-like AcTx family,88,fragment,,
Q5D232,Illawarra wisharti (Funnel-web spider),278061,MIT-like AcTx family,89,,,
Q5D233,Hadronyche infensa (Fraser island funnel-web spider) (Atrax infensus),153481,MIT-like AcTx family,90,,,
P0DN57,Cinguloterebra anilis (Auger snail) (Triplostephanus anilis),553697,,85,,,Contains 3 disulfide bonds. {ECO:0000305}.
Q5Y4Y1,Agelena orientalis (Spider),293813,U2-agatoxin family,69,,,
P0CF14,Agelena orientalis (Spider),293813,U2-agatoxin family,44,fragment,,
P0CF15,Agelena orientalis (Spider),293813,U2-agatoxin family,63,fragment,,
P0DN44,Cinguloterebra anilis (Auger snail) (Triplostephanus anilis),553697,teretoxin C (TC) superfamily,87,,,Contains 5 disulfide bonds. {ECO:0000305}.
Q5Y4Y4,Agelena orientalis (Spider),293813,U2-agatoxin family,70,,,
Q5Y4Y3,Agelena orientalis (Spider),293813,U2-agatoxin family,69,,,
Q5Y4Y2,Agelena orientalis (Spider),293813,U2-agatoxin family,70,,,
Q5Y4Y0,Agelena orientalis (Spider),293813,U2-agatoxin family,70,,,
Q5Y4X9,Agelena orientalis (Spider),293813,U2-agatoxin family,69,,,
Q5Y4X7,Agelena orientalis (Spider),293813,U2-agatoxin family,69,,,
Q5Y4X6,Agelena orientalis (Spider),293813,U2-agatoxin family,70,,,
Q5Y4X5,Agelena orientalis (Spider),293813,U2-agatoxin family,69,,,Does not contain a cysteine at position 57 which disrupts the cysteine framework.
Q5Y4X4,Agelena orientalis (Spider),293813,U2-agatoxin family,70,,,
Q5Y4X3,Agelena orientalis (Spider),293813,U2-agatoxin family,70,,,
Q5Y4X2,Agelena orientalis (Spider),293813,U2-agatoxin family,70,,,
Q5Y4X1,Agelena orientalis (Spider),293813,U2-agatoxin family,69,,,
Q5Y4X0,Agelena orientalis (Spider),293813,U2-agatoxin family,70,,,
Q5Y4W9,Agelena orientalis (Spider),293813,U2-agatoxin family,70,,,Does not contain a cysteine at position 53 which disrupts the cysteine framework.
Q5Y4W8,Agelena orientalis (Spider),293813,U2-agatoxin family,70,,,
Q5Y4W7,Agelena orientalis (Spider),293813,U2-agatoxin family,70,,,
Q5Y4W6,Agelena orientalis (Spider),293813,U2-agatoxin family,68,,,
Q5Y4W5,Agelena orientalis (Spider),293813,U2-agatoxin family,69,,,
Q5Y4W4,Agelena orientalis (Spider),293813,U2-agatoxin family,68,,,
Q5Y4W3,Agelena orientalis (Spider),293813,U2-agatoxin family,69,,,
Q5Y4W2,Agelena orientalis (Spider),293813,U2-agatoxin family,69,,,
P0DN58,Cinguloterebra anilis (Auger snail) (Triplostephanus anilis),553697,teretoxin H (TH) superfamily,72,,,Contains 4 disulfide bonds. {ECO:0000305}.
P0DN59,Terebra subulata (Chocolate spotted auger) (Buccinum subulatum),89435,teretoxin H (TH) superfamily,72,,,Contains 4 disulfide bonds. {ECO:0000305}.
P0DN45,Cinguloterebra anilis (Auger snail) (Triplostephanus anilis),553697,teretoxin C (TC) superfamily,98,,,Contains 6 disulfide bonds. {ECO:0000305}.
J3SFJ3,Crotalus adamanteus (Eastern diamondback rattlesnake),8729,TCTP family,172,,,
T1DKS4,Crotalus horridus (Timber rattlesnake),35024,TCTP family,172,,,
M5B4R7,Grammostola rosea (Chilean rose tarantula) (Grammostola spatulata),432528,TCTP family,173,,,
G3LU44,Loxosceles intermedia (Brown spider),58218,TCTP family,172,,,
U3EQ60,Micrurus fulvius (Eastern coral snake) (Coluber fulvius),8637,TCTP family,171,,,
P83608,Missulena bradleyi (Eastern mouse spider),230234,delta-atracotoxin family,42,,,
P81885,Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus),6904,delta-atracotoxin family,42,,,
P0DN60,Cinguloterebra anilis (Auger snail) (Triplostephanus anilis),553697,teretoxin N (TN) superfamily,113,,,Contains 2 disulfide bonds. {ECO:0000305}.
P0CI09,Hastula hectica (Sea snail) (Impages hectica),745793,,29,,,Contains 4 disulfide bonds. {ECO:0000305}.
P0CI21,Hastula hectica (Sea snail) (Impages hectica),745793,,38,,,Contains 2 disulfide bonds. {ECO:0000250}.
P0CI16,Hastula hectica (Sea snail) (Impages hectica),745793,,41,,,
P0CI17,Hastula hectica (Sea snail) (Impages hectica),745793,,27,,,
P0CI18,Hastula hectica (Sea snail) (Impages hectica),745793,,31,,,
P0CI19,Hastula hectica (Sea snail) (Impages hectica),745793,,36,,,
P0CI08,Hastula hectica (Sea snail) (Impages hectica),745793,,23,,,
P0CI15,Hastula hectica (Sea snail) (Impages hectica),745793,,43,,,
P0CI14,Hastula hectica (Sea snail) (Impages hectica),745793,,88,,,
P0CI20,Hastula hectica (Sea snail) (Impages hectica),745793,,19,,,
P0CI10,Hastula hectica (Sea snail) (Impages hectica),745793,,29,,,Contains 4 disulfide bonds. {ECO:0000250}.
P0CI11,Hastula hectica (Sea snail) (Impages hectica),745793,,35,,,Contains 4 disulfide bonds. {ECO:0000250}.
P0CI12,Hastula hectica (Sea snail) (Impages hectica),745793,,35,,,Contains 4 disulfide bonds. {ECO:0000250}.
P0CI07,Hastula hectica (Sea snail) (Impages hectica),745793,,11,,,
P0CI06,Hastula hectica (Sea snail) (Impages hectica),745793,,16,,,Contains 2 disulfide bonds. {ECO:0000250}.
P56587,Apis mellifera (Honeybee),7460,,21,,,Oxidation of Met-13 results in the loss of biological activity.
P0DN42,Cinguloterebra anilis (Auger snail) (Triplostephanus anilis),553697,vasopressin/oxytocin family,134,,,Terephysin: contains 7 disulfide bonds. {ECO:0000305}.
P0DN43,Terebra subulata (Chocolate spotted auger) (Buccinum subulatum),89435,vasopressin/oxytocin family,134,,,Terephysin: contains 7 disulfide bonds. {ECO:0000305}.
P0DN61,Cinguloterebra anilis (Auger snail) (Triplostephanus anilis),553697,,77,,,Contains 4 disulfide bonds. {ECO:0000305}.
P0DN62,Terebra subulata (Chocolate spotted auger) (Buccinum subulatum),89435,,77,,,Contains 4 disulfide bonds. {ECO:0000305}.
P84026,Bothrops jararaca (Jararaca) (Bothrops jajaraca),8724,,15,fragment,,Glycosylated. {ECO:0000269|PubMed:12927776}.
P0C2L8,Hadronyche formidabilis (Northern tree funnel-web spider) (Atrax formidabilis),426499,Shiva superfamily. Kappa toxin family,37,,,
P0DMQ4,Hadronyche modesta (Victorian funnel-web spider),1337084,Shiva superfamily. Kappa toxin family,73,,,
P82227,Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus),6904,Shiva superfamily. Kappa toxin family,36,,,
P82226,Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus),6904,Shiva superfamily. Kappa toxin family,36,,,
P82228,Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus),6904,Shiva superfamily. Kappa toxin family,37,,"LD(50) of recombinant toxin is 320 +-20 pmol/g (according to PubMed:11937509) or 91 +-5 pmol/g (according to PubMed:12220722) when injected into house flies (Musca domestica). {ECO:0000269|PubMed:11937509, ECO:0000269|PubMed:12220722}.",
S0F1P1,Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus),6904,Shiva superfamily. Kappa toxin family,74,,,
S0F1M9,Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus),6904,Shiva superfamily. Kappa toxin family,74,,,
P85079,Geolycosa sp. (strain A267TDLS2-KZARNA) (Wolf spider) (Lycosa kazakhstanicus),420151,omega-lycotoxin family,87,,,Contains 4 disulfide bonds.
